Year,HeadQuarter,Sector,Founders,Investor,Stage,Company_Brand,What_it_does,Amount
2018-01-01,"Bengaluru, Karnataka, India","Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home","Aman Gupta, Sameer Mehta","Venture Catalysts, 9Unicorns Accelerator Fund",Series B,Design Cafe,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",26000000.0
2018-01-01,New Delhi,"EdTech, Education, Information Services, SaaS",Kajal Ilmi,Titan Capital,Series B,NoPaperForms Solutions Pvt. Ltd.,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",3980000.0
2018-01-01,Jaipur,"Energy, Solar",Nitish Mittersain,"Venture Catalysts, 9Unicorns Accelerator Fund",Venture - Series Unknown,Rays Power Infra,Rays Power Infra is a leading integrated Solar Power Company.,26000000.0
2018-01-01,"Gurgaon, Haryana, India","B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security","Byju Raveendran, Divya Gokulnath",Titan Capital,Series E,AuthMetrik,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",10000.0
2018-01-01,Bengaluru,"Artificial Intelligence, Social","Vineet Khanna, Varun Sadana, Aman Tekriwal",9Unicorns,Seed,Khidki,Vernacular Social Network Focused on Town Level Content and Interactions,3000000.0
2018-01-01,Bengaluru,Transport,Kunal Shah,Sequoia Capital India,Series B,LetsTransport,Lets transport is a logistics solution provider.,13000000.0
2018-01-01,"Kota, Rajasthan, India","Digital Marketing, SEM, SEO, Web Development",Nirmit Parikh,Anicut Angel Fund,Series I,Next Digital Solutions,Next Digital Solutions is website design & Digital Marketing development company.,1300.0
2018-01-01,Bengaluru,"Health Care, Hospital, Medical",Kshama Fernandes,Mumbai Angels Network,Debt Financing,Portea Medical,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,3250000.0
2018-01-01,Jaipur,Finance,Sahil Barua,Mumbai Angels Network,Seed,Aavas Financiers,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",26000000.0
2018-01-01,Bengaluru,"Food Delivery, Food Processing, Internet",Ritesh Agarwal,Unicorn India Ventures,Series H,Swiggy,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,1000000000.0
2018-01-01,Haryana,"E-Commerce, Food and Beverage, Internet",Saurabh Saxena,Anicut Angel Fund,Series A,Milkbasket,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",7000000.0
2018-01-01,"Anand, Gujarat, India","Fitness, Food and Beverage, Health Care, Nutrition",Ritesh Agarwal,Unicorn India Ventures,Series A+,Nutrisattva (Proliva),Nutrisattva is a protein innovation compan,3000000.0
2018-01-01,Mumbai,"EdTech, Education, Knowledge Management",Kajal Ilmi,Elevation Capital,Series C,Toppr,Toppr.com is an online preparation platform for entrance exams in India.,35000000.0
2018-01-01,Kolkata,—,Ankur Gupta,Elevation Capital,Debt Financing,Jagaran Microfin,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,7150000.0
2018-01-01,Chennai,Financial Services,Kshama Fernandes,Kalaari Capital,Venture - Series Unknown,Vivriti Capital,Vivriti Capital is an online platform for institutional debt in India.,28500000.0
2018-01-01,New Delhi,"Apps, Beauty, Consumer, Retail",Bhavish Aggarwal,Venture Catalysts,Seed,Be U Salons,Be U is India's first subscription based Salon Chain.,390000.0
2018-01-01,Mumbai,Finance,Saurav Kumar,Y Combinator,Series A,Impact Guru,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2000000.0
2018-01-01,"Gurgaon, Haryana, India",Finance,Prabhkiran Singh,Inflection Point Ventures,Series E,MobiKwik,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,3120000.0
2018-01-01,"Gurgaon, Haryana, India","E-Learning, Education, Higher Education","Byju Raveendran, Divya Gokulnath",Unicorn India Ventures,Seed,Stones2Milestones,Stones2milestones is a Gurgaon Based Learning Company.,3000000.0
2018-01-01,Mumbai,"Health Care, Medical, Pharmaceutical",Kshama Fernandes,Elevation Capital,Series A,Generico,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,3000000.0
2018-01-01,Chennai,Health Diagnostics,Kunal Shah,Sixth Sense Ventures,Seed,Adiuvo Diagnostics,Adiuvo Diagnostics is a medical diagnostic device company based in India.,3000000.0
2018-01-01,Bengaluru,"EdTech, Education",Saurabh Saxena,Tiger Global,Seed,DataTrained,"DataTrained is a educational platform, which operates an ed-tech startup on data science",1560000.0
2018-01-01,Mumbai,"Financial Services, SaaS, Security","Byju Raveendran, Divya Gokulnath",Venture Catalysts,Debt Financing,OneAssist,OneAssist is a protection & assistance services platform.,2400000.0
2018-01-01,New Delhi,Finance,Bhavish Aggarwal,Elevation Capital,Seed Funding,Satin Creditcare Network Limited (SCNL),Satin is a non-banking finance company providing individual loans to urban shopkeepers.,30000000.0
2018-01-01,Mumbai,Finance,Sahil Barua,Unicorn India Ventures,Private Equity,APAC Financial Services,APAC Financial Services is a financial services platform.,32500000.0
2018-01-01,Noida,"B2B, E-Commerce, Mobile","Byju Raveendran, Divya Gokulnath",Sequoia Capital India,Series C,Moglix,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",23000000.0
2018-01-01,Mumbai,Transport,Nirmit Parikh,We Founder Circle,Venture - Series Unknown,SEDEMAC Mechatronics,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,3000000.0
2018-01-01,Hyderabad,E-Learning,Nitish Mittersain,Tiger Global,Venture - Series Unknown,MadGuy Labs,MadGuy Labs is a Online Test-prep Platform.,150000.0
2018-01-01,Pune,"Embedded Systems, Health Care, Medical, Product Research",Prabhkiran Singh,SucSEED Indovation Fund,Seed,Dee Dee Labs,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,3000000.0
2018-01-01,Jaipur,—,"Sai Srinivas Kiran G, Shubham Malhotra",Sequoia Capital India,Seed,FLEECA,FLEECA is a Tyre Care Provider company.,3000000.0
2018-01-01,Mumbai,"Apps, E-Commerce, Internet",Sahil Barua,We Founder Circle,Series B,Shop101,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,11000000.0
2018-01-01,"Bangalore City, Karnataka, India","Advertising, Human Resources, Marketing",Sahil Barua,Y Combinator,Seed,FeedMyPockets,On Demand Staffing Platform,572000.0
2018-01-01,"Bengaluru, Karnataka, India","Beauty, Fitness, Home Services, Internet",Saurabh Saxena,"Venture Catalysts, 9Unicorns Accelerator Fund",Series B,Housejoy,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,3240000.0
2018-01-01,Bengaluru,"Health Care, Medical Device, Public Safety",Saurav Kumar,Y Combinator,Series A+,Ambee,Ambee is an Environment analytics startup.,3000000.0
2018-01-01,"Belgaum, Karnataka, India","Food Delivery, Online Portals, Restaurants",Bhavish Aggarwal,Sequoia Capital,Seed,FoodBuddy,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",780000.0
2018-01-01,"Bengaluru, Karnataka, India","AgTech, B2B, Supply Chain Management",Saurav Kumar,We Founder Circle,Series B,Ninjacart,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,32500000.0
2018-01-01,New Delhi,Finance,Ritesh Agarwal,Unicorn India Ventures,Seed,Olly Smart Credit Card,Olly is a digital credit card for India's working masses and young people.,3000000.0
2018-01-01,Pune,Software,Ritesh Agarwal,Alteria Capital,Seed,Zestl,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",3000000.0
2018-01-01,Bengaluru,"EdTech, Education, Higher Education, Secondary Education","Sankar Bora, Sourjyendu Medda, Vineet Rao",Better Capital,Private Equity,BYJU’S,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,540000000.0
2018-01-01,Bengaluru,"Manufacturing, Retail","Byju Raveendran, Divya Gokulnath",Anicut Angel Fund,Venture - Series Unknown,Wakefit,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,8450000.0
2018-01-01,New Delhi,Manufacturing,Ankur Gupta,Elevation Capital,Venture - Series Unknown,Hero Electric,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",20800000.0
2018-01-01,Mumbai,"Information Services, Information Technology, InsurTech",Nirmit Parikh,Blue Ashva Capital,Seed,Pentation Analytics,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,3000000.0
2018-01-01,Bengaluru,Finance,Nirmit Parikh,Inflection Point Ventures,Seed,PerkFinance,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,900000.0
2018-01-01,"Gurgaon, Haryana, India","Internet, Social Network, TV",Prabhkiran Singh,9Unicorns,Series C,Roposo,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,10000000.0
2018-01-01,"Thane, Maharashtra, India","Beauty, Health Care",Nirmit Parikh,We Founder Circle,Series A,Plum Goodness,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,3000000.0
2018-01-01,Mumbai,Hospital,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Alteria Capital,Seed,Drstore,Drstore is a exclusive e- commerce platform.,3000000.0
2018-01-01,Mumbai,Events,Sahil Barua,9Unicorns,Venture - Series Unknown,Wow Venue,Wow Venue is an online platform.,1500000.0
2018-01-01,Pune,"3D Printing, Manufacturing, Product Design",Nirmit Parikh,Y Combinator,Seed,Chizel,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,3000000.0
2018-01-01,Mumbai,Transport,Prabhkiran Singh,9Unicorns,Seed,OTO Capital,OTO Capital is a platform that allows you to own a car faster than ever.,650000.0
2018-01-01,"Gurgaon, Haryana, India",Transport,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Kalaari Capital,Seed,Boodmo,boodmo.com - large online marketplace for auto parts in India.,910000.0
2018-01-01,Haryana,"Apps, Audio",Nirmit Parikh,Better Capital,Seed,Khabri,Khabri is a digital audio platform for content in vernacular.,3000000.0
2018-01-01,"Gurgaon, Haryana, India",Transport,"Aman Gupta, Sameer Mehta",Titan Capital,Venture - Series Unknown,MyNewCar.in,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,1000000.0
2018-01-01,Bengaluru,"Digital Entertainment, Fantasy Sports, Sports",Kajal Ilmi,Sequoia Capital,Series A,HalaPlay Technologies,A daily fantasy sports platform.,5000000.0
2018-01-01,"Gurgaon, Haryana, India","E-Learning, EdTech, Education","Byju Raveendran, Divya Gokulnath",Kalaari Capital,Seed,PlanetSpark,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,208000.0
2018-01-01,Pune,—,"Byju Raveendran, Divya Gokulnath",We Founder Circle,Series B,WheelsEMI,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",14000000.0
2018-01-01,"Margão, Goa, India","Funding Platform, Incubators, Non Profit",Prabhkiran Singh,Kalaari Capital,Series F,Forum for Innovation Incubation Research and Entrepreneurship,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",1332500.0
2018-01-01,"Gurgaon, Haryana, India","Hospitality, Hotel, Leisure, Travel",Utham Gowda,Mumbai Angels Network,Series E,OYO,OYO is an Indian hospitality startup that operates a network of budget hotels.,100000000.0
2018-01-01,Bengaluru,"Classifieds, Internet, Marketplace, Rental Property","Byju Raveendran, Divya Gokulnath",Y Combinator,Debt Financing,Quikr,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",7150000.0
2018-01-01,"Gurgaon, Haryana, India",Sports,Ankur Gupta,Blue Ashva Capital,Seed,Tabono,Tabono is a one stop environment for all your fitness solution.,3000000.0
2018-01-01,Noida,Finance,Kunal Shah,Sequoia Capital India,Seed,LearnApp,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",260000.0
2018-01-01,"Indore, Madhya Pradesh, India","E-Commerce, Mobile, Retail","Ashneer Grover, Shashvat Nakrani",Unicorn India Ventures,Venture - Series Unknown,Shopkirana,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2000000.0
2018-01-01,"Alwar, Rajasthan, India",—,Saurabh Saxena,Sixth Sense Ventures,Venture - Series Unknown,Fric Bergen,Fric Bergen is a leader in the specialty food industry.,3000000.0
2018-01-01,"Kannur, Kerala, India","Artificial Intelligence, Information Technology","Ashneer Grover, Shashvat Nakrani",Sixth Sense Ventures,Series G,Articbot,Articbot is a conversational AI platform for automated customer support and lead generation,15600.0
2018-01-01,"Gurgaon, Haryana, India","Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate","Aman Gupta, Sameer Mehta",SucSEED Indovation Fund,Series A,BuildSupply,India’s most advanced ERP system for the real estate,3250000.0
2018-01-01,New Delhi,Finance,Saurav Kumar,We Founder Circle,Series E,Fusion Microfinance,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,67600000.0
2018-01-01,Chennai,Software,"Aman Gupta, Sameer Mehta",Elevation Capital,Seed Round,Any time Doctor,Anytime Doctor is a Software company.,3000000.0
2018-01-01,Mumbai,"Information Services, Information Technology",Saurav Kumar,Venture Catalysts,Debt Financing,Go Payments,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,3000000.0
2018-01-01,Mumbai,"Audio, Mobile, Tourism, Travel","Aman Gupta, Sameer Mehta",Unicorn India Ventures,Seed,Guiddoo World,We build In-Destination Experiences!,800000.0
2018-01-01,Mumbai,"Energy, Energy Storage, Infrastructure",Utham Gowda,Better Capital,Venture - Series Unknown,ION Energy,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,1041000.0
2018-01-01,Bengaluru,Artificial Intelligence,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Unicorn India Ventures,Pre-Seed,UnoTag,SaaS to verify counterfeit,100000.0
2018-01-01,"Gurgaon, Haryana, India","Government, Information Technology, Software",Sahil Barua,SucSEED Indovation Fund,Pre-Seed,CivilCops,Gov-Tech,100000.0
2018-01-01,Mumbai,Information Technology,"Vineet Khanna, Varun Sadana, Aman Tekriwal",Blue Ashva Capital,Series D1,Rockmetric,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",3000000.0
2018-01-01,Chennai,"Education, Information Technology, Internet, Mobile, Software",Sahil Barua,Better Capital,Bridge,Classworks India,"Saas, Web App, Mobile App, School Education",1300.0
2018-01-01,Mumbai,Finance,Nirmit Parikh,Venture Catalysts,Seed,Snapmint,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",3000000.0
2018-01-01,Bengaluru,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Ritesh Agarwal,"Venture Catalysts, 9Unicorns Accelerator Fund",Pre-Seed,artbandhu,Ai platform for Art and Creative Community,15000.0
2018-01-01,"Bengaluru, Karnataka, India","Business Intelligence, Customer Service, Market Research, SaaS",Kshama Fernandes,9Unicorns,Seed,Survaider,Stethoscope for customer feedback !,500000.0
2018-01-01,"Bengaluru, Karnataka, India",Finance,"Sankar Bora, Sourjyendu Medda, Vineet Rao",We Founder Circle,Seed,Credy,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,1400000.0
2018-01-01,"Gurgaon, Haryana, India",E-Learning,Prabhkiran Singh,Unicorn India Ventures,Seed,iChamp,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,5000000.0
2018-01-01,"Gurgaon, Haryana, India",Software,Nitish Mittersain,Blue Ashva Capital,Seed,Qandle,A cloud-based HR management and employee engagement platform.,1200000.0
2018-01-01,Delhi,"Children, Education, Parenting","Ashneer Grover, Shashvat Nakrani",Mumbai Angels Network,Seed,Avishkaar Box,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",650000.0
2018-01-01,Mumbai,Transport,"Byju Raveendran, Divya Gokulnath",Mumbai Angels Network,Fresh Funding,Gegadyne Energy,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,3000000.0
2018-01-01,Pune,"E-Commerce, Mobile, Sharing Economy",Kunal Shah,Y Combinator,Series A,HyperXchange,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,1000000.0
2018-01-01,Bengaluru,—,Nitish Mittersain,Inflection Point Ventures,Seed,Deftouch,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,3000000.0
2018-01-01,"Bengaluru, Karnataka, India","Food Delivery, Organic, Organic Food","Sai Srinivas Kiran G, Shubham Malhotra",Titan Capital,Seed,Doodhwala,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2200000.0
2018-01-01,Mumbai,Mobile,Saurav Kumar,Sequoia Capital India,Pre-Seed,DronaHQ,DronaHQ is an enterprise mobile engagement platform.,500000.0
2018-01-01,"Gurgaon, Haryana, India",Rental,"Sai Srinivas Kiran G, Shubham Malhotra",Better Capital,Series A,FastFox,FastFox: Market Network for Home Rentals (India),1300000.0
2018-01-01,Bengaluru,Travel,"Sai Srinivas Kiran G, Shubham Malhotra",Kalaari Capital,Series D,BuyForexOnline,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2000000.0
2018-01-01,Bengaluru,Consumer,Prabhkiran Singh,Alteria Capital,Seed,Colive.in,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,1800000.0
2018-01-01,"Thane, Maharashtra, India","B2B, Farming, Marketplace",Nirmit Parikh,Venture Catalysts,Seed,Agricxlab Private Limited,Online marketplace where farmers and traders can sell their produce to B2B buyers,500000.0
2018-01-01,Bengaluru,—,Nirmit Parikh,SucSEED Indovation Fund,Seed,Corefactors,"Corefactors is a leading campaign management, business communication and analytics company.",3000000.0
2018-01-01,Mumbai,Wealth Management,Nirmit Parikh,Kalaari Capital,Seed,Fincash.com,A startup in the personal finance space in India .,150000.0
2018-01-01,"Bengaluru, Karnataka, India",Biotechnology,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Venture Catalysts, 9Unicorns Accelerator Fund",Series A,Pandorum Technologies,Bengaluru based biotech startup.,3600000.0
2018-01-01,Mumbai,"Education, Gaming, Training",Kunal Shah,"Venture Catalysts, 9Unicorns Accelerator Fund",Seed,Shirsa Labs,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,500000.0
2018-01-01,"Gurgaon, Haryana, India",Veterinary,Saurabh Saxena,Better Capital,Seed,PetSutra,Gurugram-based Online petcare platform.,123500.0
2018-01-01,"Ahmedabad, Gujarat, India","Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Kajal Ilmi,Mumbai Angels Network,Fresh Funding,Awaaz De,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,3000000.0
2018-01-01,Bengaluru,"Health Care, Hospital, Supply Chain Management","Aman Gupta, Sameer Mehta",Mumbai Angels Network,Seed,PinkBlue,PinkBlue.in - Super-efficient supply-chain for clinical supplies,300000.0
2018-01-01,Mumbai,Finance,Bhavish Aggarwal,"Venture Catalysts, 9Unicorns Accelerator Fund",Series A,Eduvanz,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",500000.0
2018-01-01,Bengaluru,"Financial Services, Lending",Sahil Barua,Sequoia Capital India,Series A,Rupeek,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,6830000.0
2018-01-01,Pune,"Tourism, Travel","Ashneer Grover, Shashvat Nakrani",SucSEED Indovation Fund,Series A,Backpacker Panda Holidays Private Limited,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0
2018-01-01,Pune,Education,Kajal Ilmi,Sequoia Capital,Seed,Shape (School Health and Physical Education),Physical education start up,200000.0
2018-01-01,Noida,"Hospitality, Real Estate",Bhavish Aggarwal,Sequoia Capital India,Seed,Placio,Placio is a student housing and a complete broker-free platform.,2000000.0
2018-01-01,New Delhi,Finance,Sahil Barua,SucSEED Indovation Fund,Series A,Aviom India Housing Finance,Delhi based housing finance company.,1950000.0
2018-01-01,"Trivandrum, Kerala, India",Market Research,Utham Gowda,Sequoia Capital,Seed,GenRobotic,A Robotic Company.,3000000.0
2018-01-01,Bengaluru,"Tourism, Travel",Bhavish Aggarwal,9Unicorns,Seed,HeyHolidays,"HeyHolidays, a global player in online vacation rentals.",1000000.0
2018-01-01,"Bengaluru, Karnataka, India","Digital Media, EBooks, Publishing, Reading Apps","Vineet Khanna, Varun Sadana, Aman Tekriwal",Y Combinator,Series A,Pratilipi,Amazon's Kindle Direct Publishing for Indian Languages,4300000.0
2018-01-01,"Ernakulam, Kerala, India","Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Kunal Shah,"Venture Catalysts, 9Unicorns Accelerator Fund",Seed,SectorQube,SectorQube develops smart kitchen devices that make food automatically.,3000000.0
2018-01-01,"Ahmedabad, Gujarat, India","Food and Beverage, Food Processing",Saurabh Saxena,Titan Capital,Seed,Food Memories,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,3000000.0
2018-01-01,"India, Asia","Internet, Marketplace, Shopping","Vineet Khanna, Varun Sadana, Aman Tekriwal",Alteria Capital,Seed,ZAMROO,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,3000000.0
2018-01-01,"Gurgaon, Haryana, India","Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition","Ashneer Grover, Shashvat Nakrani",Titan Capital,Seed,Silversparro Technologies Pvt. Ltd,Silversparro is a deep learning technology solution provider.,300000.0
2018-01-01,"Gurgaon, Haryana, India",Facilities Support Services,Saurav Kumar,Venture Catalysts,Seed Round,Creator’s Gurukul,A coworking space provider.,3000000.0
2018-01-01,"Bengaluru, Karnataka, India",Transport,Saurav Kumar,We Founder Circle,Seed,Emflux Motors,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0
2018-01-01,Bengaluru,"Health Care, Health Diagnostics, Predictive Analytics",Ritesh Agarwal,Better Capital,Series A,Tricog Health Services Pvt Ltd,Predictive Healthcare Analytics Company,4000000.0
2018-01-01,Bengaluru,"Cloud Computing, Computer, SaaS, Software","Byju Raveendran, Divya Gokulnath",Kalaari Capital,Seed,Scapic,Virtual/Augmented Reality Start Up .,500000.0
2018-01-01,Mumbai,"Fashion, Lifestyle, Retail",Nirmit Parikh,Venture Catalysts,Seed,6Degree,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0
2018-01-01,Chennai,Education,Kunal Shah,Unicorn India Ventures,Seed,Chrysalis (EZ Vidya),Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,3000000.0
2018-01-01,Hyderabad,Medical,"Vineet Khanna, Varun Sadana, Aman Tekriwal",9Unicorns,Series A,Ekincare,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0
2018-01-01,"Gurgaon, Haryana, India",Music Streaming,Saurav Kumar,Y Combinator,Seed,Streo,"Live stream music from nightclubs, bars & festivals!",3000000.0
2018-01-01,"Kormangala, Karnataka, India",Finance,Nirmit Parikh,Sixth Sense Ventures,Seed,Groww,Groww offers a new way of investing money.,120000.0
2018-01-01,Bengaluru,—,Utham Gowda,We Founder Circle,Seed,Cell Propulsion,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,91000.0
2018-01-01,Hyderabad,"Internet, Social Entrepreneurship","Aman Gupta, Sameer Mehta",Better Capital,Venture - Series Unknown,Chezuba,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,18200.0
2018-01-01,Bengaluru,Retail,"Sankar Bora, Sourjyendu Medda, Vineet Rao",Inflection Point Ventures,Seed,Ontrack Technologies Pvt. Ltd,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,3000000.0
2018-01-01,Mumbai,Finance,"Sai Srinivas Kiran G, Shubham Malhotra",Mumbai Angels Network,Seed,Wealthtrust,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,500000.0
2018-01-01,Mumbai,"Cloud Computing, Computer, Software",Kunal Shah,9Unicorns,Seed,Faclon Labs,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,3000000.0
2018-01-01,Bengaluru,"Business Development, Market Research, Outsourcing",Ritesh Agarwal,Kalaari Capital,Seed,Awign Enterprises,Operations and manpower outsourcing startup,650000.0
2018-01-01,Bengaluru,Education,"Sai Srinivas Kiran G, Shubham Malhotra",Sequoia Capital,Seed,CollPoll,World-class Enterprise System for Education.,3000000.0
2018-01-01,New Delhi,"Health Care, Hospitality",Bhavish Aggarwal,Mumbai Angels Network,Seed,Zyla Health,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,3000000.0
2018-01-01,Delhi,"Internet, Social News, Sports",Kajal Ilmi,Venture Catalysts,Series A,Hubhopper,Get your daily dose of interest as summaries from news and magazine stories .,500000.0
2018-01-01,Pune,Information Technology,"Aman Gupta, Sameer Mehta",Better Capital,Seed,Rubix108 Technologies,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,1000000.0
2018-01-01,Bengaluru,Human Resources,Saurabh Saxena,9Unicorns,Seed,Workflexi,"Be Smart, Work on Contract,Be Smart, Hire on Contract",130000.0
2018-01-01,Bengaluru,Financial Services,Kunal Shah,Sequoia Capital,Seed,Streak,Algorithmic trading platform.,292500.0
2018-01-01,"Gurgaon, Haryana, India",Financial Services,Kshama Fernandes,Anicut Angel Fund,Seed,Kuants,Algorithmic trading platform.,65000.0
2018-01-01,Bengaluru,Finance,"Byju Raveendran, Divya Gokulnath",Inflection Point Ventures,Series A,NiYO Solutions,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,13200000.0
2018-01-01,Chennai,"Customer Service, Software, Video, Video Streaming","Aman Gupta, Sameer Mehta",Sequoia Capital,Seed,Hippo Video,A video recording and sharing software.,3000000.0
2018-01-01,"Gurgaon, Haryana, India","E-Commerce, Food Processing","Sai Srinivas Kiran G, Shubham Malhotra",Better Capital,Seed,Satvacart,Satvacart is a Gurgaon’s largest online supermarket,3000000.0
2018-01-01,Bengaluru,Health Care,Utham Gowda,Better Capital,Series A,Daaki,Sports Nutrition startup,3000000.0
2018-01-01,New Delhi,Training,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Mumbai Angels Network,Seed,Simulanis,A Delhi-based Augmented Reality and Virtual Reality technology development company.,500000.0
2018-01-01,Jaipur,Travel,Sahil Barua,Titan Capital,Seed,MY CHIRAAG CAB,MY CHIRAAG CAB SERVICES PVT LTD,1000000.0
2018-01-01,Bengaluru,Food and Beverage,Prabhkiran Singh,Sixth Sense Ventures,Seed,WOTU,It operates a business-to-business e-commerce portal for food and beverages.,3000000.0
2018-01-01,"Gurgaon, Haryana, India",—,Kunal Shah,SucSEED Indovation Fund,Venture - Series Unknown,Flathalt,FInd your Customized Home here.,50000.0
2018-01-01,Pune,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Kunal Shah,Mumbai Angels Network,Seed,True Elements,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,650000.0
2018-01-01,Bengaluru,Financial Services,"Aman Gupta, Sameer Mehta",Anicut Angel Fund,Seed,Trendlyne Technologies,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,200000.0
2018-01-01,Chennai,"Manufacturing, Oil and Gas, Robotics","Sankar Bora, Sourjyendu Medda, Vineet Rao",SucSEED Indovation Fund,Series A,Planys Technologies,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,1822600.0
